access_code,access_days_time,access_detail_code,cards_accepted,date_last_confirmed,expected_date,fuel_type_code,groups_with_access_code,id,open_date,owner_type_code,status_code,station_name,station_phone,updated_at,facility_type,geocode_status,latitude,longitude,city,intersection_directions,plus4,state,street_address,zip,country,ev_connector_types,ev_dc_fast_num,ev_level1_evse_num,ev_level2_evse_num,ev_network,ev_network_web,ev_other_evse,ev_pricing,ev_renewable_source,ev_network_ids,federal_agency
public,24 hours daily; pay lot,,,2019-10-04,,ELEC,Public,88616,2017-11-23,P,E,Asheville Regional Airport - Hourly Parking Lot,828-684-2226,2020-01-21T18:34:38Z,AIRPORT,200-9,35.434874,-82.537656,Fletcher,Exit 40 off Interstate 26,,NC,61 Terminal Dr,28732,US,['J1772'],,,2.0,Non-Networked,,,Free,,,
public,24 hours daily,,,2020-01-27,,ELEC,Public,88644,,,E,WAKE EMC,888-758-4389,2020-01-27T10:14:46Z,,GPS,36.0261361,-78.3318927,Louisburg,TRI AIRPORT,,NC,440 Airport Rd,27549,US,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,Free,,"{'posts': ['1:268671'], 'ports': ['1', '2']}",
public,24 hours daily,,,2020-01-27,,ELEC,Public,88714,,,E,OPS. CENTER,888-758-4389,2020-01-27T10:14:46Z,,GPS,36.3273517,-78.4039895,Henderson,POLICE DEPT; Along Wyche St.,,NC,172 Wyche St,27536,US,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,Free,,"{'posts': ['1:205225'], 'ports': ['1', '2']}",
public,24 hours daily,,,2020-01-27,,ELEC,Public,88715,,,E,OPS. CENTER,888-758-4389,2020-01-27T10:14:46Z,,GPS,36.3354869,-78.4312791,Henderson,OPS CTR; Front Parking Lot,,NC,900 S Beckford Dr,27536,US,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,Free,,"{'posts': ['1:204525'], 'ports': ['1', '2']}",
public,24 hours daily,,,2020-01-27,,ELEC,Public,88725,,,E,SKYNET,888-758-4389,2020-01-27T10:14:46Z,,GPS,35.5959224,-82.5538358,Asheville,RANKIN PARKING; EV Charger is located on the ground level of the Rankin Street parking structure by the Rankin Street entrance. ,,NC,2-24 Rankin Ave,28801,US,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,Free,,"{'posts': ['1:230761'], 'ports': ['1', '2']}",
public,24 hours daily,,,2020-01-27,,ELEC,Public,88727,,,E,SKYNET,888-758-4389,2020-01-27T10:14:46Z,,GPS,35.5949108,-82.5560058,Asheville,WALL ST PARKING; EV Charger is located on the top deck of the Wall Street parking structure. ,,NC,45 Wall St,28801,US,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,Free,,"{'posts': ['1:205409'], 'ports': ['1', '2']}",
public,24 hours daily; for customers only,,,2019-10-04,,ELEC,Public,91854,2018-01-01,P,E,Kilmarlic Golf Club - Tesla,252-491-4220,2020-01-21T18:34:38Z,REC_SPORTS_FACILITY,200-8,36.11945,-75.838482,Powells Point,,,NC,215 West Side Ln,27966,US,['TESLA'],,,2.0,Non-Networked,,,,,,
public,9:30am-9:30pm daily; for Tesla use only,,,2019-10-04,,ELEC,Public,91858,2018-01-01,P,E,Smithfield's Chicken 'N Bar-B-Q - Tesla,910-754-5522,2020-01-21T18:34:38Z,RESTAURANT,200-9,33.962722,-78.417525,Shallotte,,,NC,4670 East Coast Ln,28470,US,['TESLA'],,,1.0,Non-Networked,,,Free,,,
public,24 hours daily,,,2019-10-04,,ELEC,Public,91903,2018-01-01,P,E,Ingles Market,828-456-8776,2020-01-21T18:34:38Z,GROCERY,GPS,35.470142,-83.004869,Waynesville,,,NC,1670 Brown Ave,28786,US,['J1772'],,,2.0,Non-Networked,,,Free,,,
public,24 hours daily,,,2019-10-04,,ELEC,Public,91904,2018-01-01,P,E,Ingles Market,828-645-4521,2020-01-21T18:34:38Z,GROCERY,GPS,35.672325,-82.581169,Asheville,Located at Interstate 26 exit 21. Charging station behind the Ingles Gas Express station.,,NC,499 Weaverville Rd,28804,US,['J1772'],,,2.0,Non-Networked,,,Free,,,
public,24 hours daily,,,2019-10-04,,ELEC,Public,91905,2018-01-01,P,E,Blue Ridge Community College - Patton Hall,828-694-1700,2020-01-21T18:34:38Z,COLLEGE_CAMPUS,GPS,35.307808,-82.426922,Flat Rock,,,NC,43-65 W Campus Dr,28731,US,['J1772'],,,2.0,Non-Networked,,,Free,,,
public,24 hours daily,,,2020-01-27,,ELEC,Public,92409,,,E,WF EV STATIONS,888-758-4389,2020-01-27T10:14:46Z,,GPS,35.9781938,-78.5100544,Wake Forest,S WHITE EV; Municipal Parking Lot,,NC,150 S White St,27587,US,['J1772'],,,1.0,ChargePoint Network,http://www.chargepoint.com/,,Free,,"{'posts': ['1:207003'], 'ports': ['1']}",
public,24 hours daily,,,2020-01-27,,ELEC,Public,92411,,,E,SHUTE PARKING,888-758-4389,2020-01-27T10:14:46Z,,GPS,34.9804918,-80.5493746,Monroe,MONROE 1; Hayne Street side of parking lot. ,,NC,214 NC-207,28112,US,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,Free,,"{'posts': ['1:205697'], 'ports': ['1', '2']}",
public,24 hours daily,,,2020-01-27,,ELEC,Public,92421,,,E,NOVEL NODA,888-758-4389,2020-01-27T10:14:46Z,,GPS,35.2485619,-80.8065469,Charlotte,EV CHARGER 01; Novel NoDa Apartment Community. Available to residents and guests of the property. Pricing rules apply.,,NC,424 E 36th St,28205,US,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,"Pricing is based on length of time. $1 per hour for the first 4 hours, and $3 per additional hour, minimum payment of $2",,"{'posts': ['1:197717'], 'ports': ['1', '2']}",
public,24 hours daily,,,2020-01-27,,ELEC,Public,92435,,,E,RCC COLLEGE,888-758-4389,2020-01-27T10:14:46Z,,GPS,35.4370465,-80.6594445,Concord,SOUTH 2000 LOT; -,,NC,1531 Trinity Church Rd,28027,US,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,"Pricing is based on length of time. $1 per hour for the first 4 hours, and $5 per additional hour",,"{'posts': ['1:187811'], 'ports': ['1', '2']}",
public,24 hours daily,,,2020-01-27,,ELEC,Public,92444,,,E,RCC COLLEGE,888-758-4389,2020-01-27T10:14:46Z,,GPS,35.639123,-80.4831782,Salisbury,NORTH 600 LOT; Under Solar Canopy,,NC,1333 Jake Alexander Blvd. S,28146,US,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,"Pricing is based on length of time. $1 per hour for the first 4 hours, and $5 per additional hour",,"{'posts': ['1:183659'], 'ports': ['1', '2']}",
public,24 hours daily,,,2020-01-27,,ELEC,Public,92445,,,E,PEMBROKE CHARGE,888-758-4389,2020-01-27T10:14:46Z,,GPS,34.6804353,-79.1934142,Pembroke,STATION CT4000; Third Street ,,NC,202 Main St,28372,US,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,Free,,"{'posts': ['1:183295'], 'ports': ['1', '2']}",
public,24 hours daily,,,2020-01-27,,ELEC,Public,92451,,,E,GREENVILLE NC,888-758-4389,2020-01-27T10:14:46Z,,GPS,35.6057685,-77.3623529,Greenville,AUSTIN BLDG; NE Corner of parking lot,,NC,Dixon Dr,27858,US,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,Free,,"{'posts': ['1:180907'], 'ports': ['1', '2']}",
public,24 hours daily,,,2020-01-27,,ELEC,Public,92452,,,E,GASTONIA,888-758-4389,2020-01-27T10:14:46Z,,GPS,35.266117,-81.1812969,Gastonia,33 DR MLK DR; -,,NC,330 Dr M.L.K. Jr. Way,28052,US,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,Free,,"{'posts': ['1:180543'], 'ports': ['1', '2']}",
public,24 hours daily,KEY_ALWAYS,,2020-01-27,,ELEC,Public - Card key at all times,93357,,,E,Hyatt Place Durham Southpoint,877-455-3833,2020-01-27T10:56:48Z,,GPS,35.900384,-78.961132,Durham,,,NC,7840 NC Highway 751,27713,US,"['CHADEMO', 'J1772COMBO']",1.0,,,eVgo Network,https://www.evgo.com/,,,,"{'station': ['599'], 'posts': ['1137']}",
public,24 hours daily,KEY_ALWAYS,,2020-01-27,,ELEC,Public - Card key at all times,93358,,,E,Courtyard Marriot,877-455-3833,2020-01-27T10:56:48Z,,GPS,35.83511,-78.673878,Raleigh,,,NC,3908 Arrow Dr,27612,US,"['CHADEMO', 'J1772COMBO']",1.0,,,eVgo Network,https://www.evgo.com/,,,,"{'station': ['598'], 'posts': ['1139']}",
public,24 hours daily,KEY_ALWAYS,,2020-01-27,,ELEC,Public - Card key at all times,93359,,,E,Sheetz,877-455-3833,2020-01-27T10:56:48Z,,GPS,35.855509,-78.795704,Morrisville,,,NC,1600 Aviation Pkwy,27560,US,"['CHADEMO', 'J1772COMBO']",1.0,,,eVgo Network,https://www.evgo.com/,,,,"{'station': ['660'], 'posts': ['1141']}",
public,24 hours daily,KEY_ALWAYS,,2020-01-27,,ELEC,Public - Card key at all times,93360,,,E,Sheetz,877-455-3833,2020-01-27T10:56:48Z,,GPS,35.789742,-78.739027,Raleigh,,,NC,600 Corporate Center Dr,27607,US,"['CHADEMO', 'J1772COMBO']",1.0,,,eVgo Network,https://www.evgo.com/,,,,"{'station': ['661'], 'posts': ['1143']}",
public,24 hours daily,KEY_ALWAYS,,2020-01-27,,ELEC,Public - Card key at all times,93361,,,E,Sheetz,877-455-3833,2020-01-27T10:56:48Z,,GPS,35.860412,-78.89456,Cary,,,NC,4010 CONVENIENCE LN,27519,US,"['CHADEMO', 'J1772COMBO']",1.0,,,eVgo Network,https://www.evgo.com/,,,,"{'station': ['659'], 'posts': ['1145']}",
public,24 hours daily,KEY_ALWAYS,,2020-01-27,,ELEC,Public - Card key at all times,93387,,,E,Asheville Outlet Mall,877-455-3833,2020-01-27T10:56:48Z,,GPS,35.529573,-82.601858,Asheville,,,NC,800 Brevard Rd,28806,US,"['CHADEMO', 'J1772COMBO']",2.0,,,eVgo Network,https://www.evgo.com/,,,,"{'station': ['744'], 'posts': ['1209', '1213']}",
public,24 hours daily,KEY_ALWAYS,,2020-01-27,,ELEC,Public - Card key at all times,93388,,,E,Biltmore Park Town Square,877-455-3833,2020-01-27T10:56:48Z,,GPS,35.48404,-82.55774,Asheville,,,NC,1 Town Square Blvd,28803,US,"['CHADEMO', 'J1772COMBO']",1.0,,,eVgo Network,https://www.evgo.com/,,,,"{'station': ['743'], 'posts': ['1211']}",
public,24 hours daily,KEY_ALWAYS,,2020-01-27,,ELEC,Public - Card key at all times,93397,,,E,BP,877-455-3833,2020-01-27T10:56:48Z,,GPS,35.05452,-80.84605,Charlotte,,,NC,9935 Ballantyne Commons Pkwy,28277,US,"['CHADEMO', 'J1772COMBO']",1.0,,,eVgo Network,https://www.evgo.com/,,,,"{'station': ['711'], 'posts': ['1233']}",
public,24 hours daily,KEY_ALWAYS,,2020-01-27,,ELEC,Public - Card key at all times,93398,,,E,BP,877-455-3833,2020-01-27T10:56:48Z,,GPS,35.16246,-80.96855,Charlotte,,,NC,9311 Steele Creek Rd,28273,US,"['CHADEMO', 'J1772COMBO']",1.0,,,eVgo Network,https://www.evgo.com/,,,,"{'station': ['710'], 'posts': ['1235']}",
public,24 hours daily,KEY_ALWAYS,,2020-01-27,,ELEC,Public - Card key at all times,93399,,,E,Earp's Express,877-455-3833,2020-01-27T10:56:48Z,,GPS,35.171108,-80.661253,Charlotte,,,NC,7020 Brighton Park Dr,28227,US,"['CHADEMO', 'J1772COMBO']",1.0,,,eVgo Network,https://www.evgo.com/,,,,"{'station': ['714'], 'posts': ['1237']}",
public,24 hours daily,KEY_ALWAYS,,2020-01-27,,ELEC,Public - Card key at all times,93400,,,E,BP Highland Creek,877-455-3833,2020-01-27T10:56:48Z,,GPS,35.3726,-80.78433,Charlotte,,,NC,5045 Ridge Rd,28269,US,"['CHADEMO', 'J1772COMBO']",1.0,,,eVgo Network,https://www.evgo.com/,,,,"{'station': ['717'], 'posts': ['1239']}",
public,24 hours daily,KEY_ALWAYS,,2020-01-27,,ELEC,Public - Card key at all times,93401,,,E,BP,877-455-3833,2020-01-27T10:56:48Z,,GPS,35.084032,-80.731712,Matthews,,,NC,3040 Weddington Rd,28105,US,"['CHADEMO', 'J1772COMBO']",1.0,,,eVgo Network,https://www.evgo.com/,,,,"{'station': ['718'], 'posts': ['1241']}",
public,24 hours daily,KEY_ALWAYS,,2020-01-27,,ELEC,Public - Card key at all times,93402,,,E,BP,877-455-3833,2020-01-27T10:56:48Z,,GPS,35.535514,-80.800871,Mooresville,,,NC,1327 Shearers Rd,28115,US,"['CHADEMO', 'J1772COMBO']",1.0,,,eVgo Network,https://www.evgo.com/,,,,"{'station': ['716'], 'posts': ['1243']}",
public,24 hours daily,KEY_ALWAYS,,2020-01-27,,ELEC,Public - Card key at all times,93409,,,E,BP,877-455-3833,2020-01-27T10:56:48Z,,GPS,35.099375,-80.987905,Charlotte,,,NC,12922 Walker Branch Rd,28273,US,"['CHADEMO', 'J1772COMBO']",1.0,,,eVgo Network,https://www.evgo.com/,,,,"{'station': ['715'], 'posts': ['1257']}",
public,24 hours daily,KEY_ALWAYS,,2020-01-27,,ELEC,Public - Card key at all times,93419,,,E,BP,877-455-3833,2020-01-27T10:56:48Z,,GPS,35.336799,-80.962461,Charlotte,,,NC,2211 Vinnies Way,28214,US,"['CHADEMO', 'J1772COMBO']",1.0,,,eVgo Network,https://www.evgo.com/,,,,"{'station': ['719'], 'posts': ['1277']}",
public,24 hours daily,KEY_ALWAYS,,2020-01-27,,ELEC,Public - Card key at all times,93437,,,E,BP,877-455-3833,2020-01-27T10:56:48Z,,GPS,35.250797,-80.656302,Charlotte,,,NC,7910 Cambridge Commons Dr,28215,US,"['CHADEMO', 'J1772COMBO']",1.0,,,eVgo Network,https://www.evgo.com/,,,,"{'station': ['713'], 'posts': ['1315']}",
public,24 hours daily,KEY_ALWAYS,,2020-01-27,,ELEC,Public - Card key at all times,93477,,,E,SouthPark Mall,877-455-3833,2020-01-27T10:56:48Z,,GPS,35.15402,-80.83309,Charlotte,,,NC,4400 Sharon Rd,28211,US,"['CHADEMO', 'J1772', 'J1772COMBO']",1.0,,2.0,eVgo Network,https://www.evgo.com/,,,,"{'station': ['158'], 'posts': ['1395', '2079', '2080']}",
public,24 hours daily,KEY_ALWAYS,,2020-01-27,,ELEC,Public - Card key at all times,93503,,,E,AAA,877-455-3833,2020-01-27T10:56:48Z,,GPS,35.9659,-78.96026,Durham,,,NC,3505 Westgate Dr,27707,US,"['CHADEMO', 'J1772COMBO']",1.0,,,eVgo Network,https://www.evgo.com/,,,,"{'station': ['200'], 'posts': ['1455']}",
public,24 hours daily,KEY_ALWAYS,,2020-01-27,,ELEC,Public - Card key at all times,93505,,,E,AAA,877-455-3833,2020-01-27T10:56:48Z,,GPS,35.95034,-78.53849,Wake Forest,,,NC,11126 Capital Blvd,27587,US,"['CHADEMO', 'J1772COMBO']",1.0,,,eVgo Network,https://www.evgo.com/,,,,"{'station': ['202'], 'posts': ['1459']}",
public,24 hours daily,KEY_ALWAYS,,2020-01-27,,ELEC,Public - Card key at all times,93515,,,E,BP,877-455-3833,2020-01-27T10:56:48Z,,GPS,35.301669,-80.986902,Charlotte,,,NC,221 Mt Holly Huntersville Rd,28214,US,"['CHADEMO', 'J1772COMBO']",1.0,,,eVgo Network,https://www.evgo.com/,,,,"{'station': ['712'], 'posts': ['1481']}",
public,24 hours daily,KEY_ALWAYS,,2020-01-27,,ELEC,Public - Card key at all times,93532,,,E,AAA,877-455-3833,2020-01-27T10:56:48Z,,GPS,35.8002,-78.56228,Raleigh,,,NC,1480 N New Hope Rd,27604,US,"['CHADEMO', 'J1772COMBO']",1.0,,,eVgo Network,https://www.evgo.com/,,,,"{'station': ['201'], 'posts': ['1521']}",
public,24 hours daily,KEY_ALWAYS,,2020-01-27,,ELEC,Public - Card key at all times,93534,,,E,Thomas Ave Public Lot,877-455-3833,2020-01-27T10:56:48Z,,GPS,35.21985,-80.81261,Charlotte,,,NC,1225 Thomas Ave,28205,US,"['CHADEMO', 'J1772COMBO']",1.0,,,eVgo Network,https://www.evgo.com/,,,,"{'station': ['745'], 'posts': ['1529']}",
public,24 hours daily,KEY_ALWAYS,,2020-01-27,,ELEC,Public - Card key at all times,93623,,,E,Courtyard Marriot,877-455-3833,2020-01-27T10:56:48Z,,GPS,35.83514,-78.67387,Raleigh,,,NC,3908 Arrow Dr,27612,US,['J1772'],,,2.0,eVgo Network,https://www.evgo.com/,,,,"{'station': ['597'], 'posts': ['2031', '2032']}",
public,24 hours daily,KEY_ALWAYS,,2020-01-27,,ELEC,Public - Card key at all times,93624,,,E,Hyatt Place Durham Southpoint,877-455-3833,2020-01-27T10:56:48Z,,GPS,35.90027,-78.96117,Durham,,,NC,7840 NC Highway 751,27713,US,['J1772'],,,2.0,eVgo Network,https://www.evgo.com/,,,,"{'station': ['600'], 'posts': ['2033', '2034']}",
public,24 hours daily,,,2019-10-04,,ELEC,Public,94357,2018-03-01,P,E,University of North Carolina - Parking Deck,828-251-6691,2020-01-21T18:34:38Z,COLLEGE_CAMPUS,GPS,35.6188,-82.566569,Asheville,Located in the lower level of Parking Deck P 12 adjacent to University Heights,,NC,5-11 University Heights,28804,US,['J1772'],,,2.0,Non-Networked,,,Free,,,
public,24 hours daily; maximum session time of 2 hours,,,2019-10-04,,ELEC,Public,94358,2018-03-01,LG,E,Town of Lake Lure,828-625-9983,2020-01-21T18:34:38Z,MUNI_GOV,GPS,35.435111,-82.231733,Lake Lure,Located in the Welcome Center parking lot,,NC,2932 Memorial Hwy,28746,US,['J1772'],,,2.0,Non-Networked,,,Free,,,
public,24 hours daily,,,2020-01-27,,ELEC,Public,94377,,,E,BEMC,888-758-4389,2020-01-27T10:14:46Z,,GPS,33.8896086,-78.5668637,Calabash,CALABASH; In the parking lot of the Boundary House,,NC,1045 River Rd,28467,US,['J1772'],,,1.0,ChargePoint Network,http://www.chargepoint.com/,,$7.5 per session,,"{'posts': ['1:162635'], 'ports': ['1']}",
public,24 hours daily,,,2020-01-27,,ELEC,Public,95012,,,E,EPROPERTY,888-758-4389,2020-01-27T10:14:46Z,,GPS,35.1373676,-80.9291687,Charlotte,FIRST FLOOR GW; 1st floor of parking deck,,NC,9101-9199 Sessions St,28273,US,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,"Pricing is based on length of time. $0 per hour for the first 2 hours, and $5 per additional hour",,"{'posts': ['1:415661'], 'ports': ['1', '2']}",
public,24 hours daily,,,2020-01-27,,ELEC,Public,95013,,,E,EPROPERTY,888-758-4389,2020-01-27T10:14:46Z,,GPS,35.1372037,-80.9291292,Charlotte,FIRST FLOOR GW2; In first floor of parking deck,,NC,2401-2621 Silver Cres Dr,28273,US,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,"Pricing is based on length of time. $0 per hour for the first 2 hours, and $5 per additional hour",,"{'posts': ['1:415611'], 'ports': ['1', '2']}",
private,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,,2020-01-27,,ELEC,Private,95326,,,E,Sojourn Glenwood Place Apartment,888-998-2546,2020-01-27T09:08:07Z,,GPS,35.81717,-78.659529999,Raleigh,,,NC,3310 Womans Club Dr,27612,US,['J1772'],,,4.0,Blink Network,http://www.blinkcharging.com/,,Level 2: $0.49 per kWh,,"{'station': ['347437'], 'posts': ['19003', '20350', '347364', '347434']}",
private,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,,2020-01-27,,ELEC,Private,95549,,,E,Cielo Apartments,888-998-2546,2020-01-27T09:08:07Z,,GPS,35.1631,-80.8484,Charlotte,,,NC,4943 Park Rd,28209,US,['J1772'],,,1.0,Blink Network,http://www.blinkcharging.com/,,Level 2: $0.49 per kWh,,"{'station': ['366358'], 'posts': ['21354']}",
private,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,,2020-01-27,,ELEC,Private,95586,,,E,525 N Tryon Street Garage,888-998-2546,2020-01-27T09:08:07Z,,GPS,35.231197,-80.838546,Charlotte,,,NC,525 N. Tryon Street,28202,US,['J1772'],,,2.0,Blink Network,http://www.blinkcharging.com/,,Level 2: $0.49 per kWh,,"{'station': ['301098'], 'posts': ['245613', '63115']}",
public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,,2020-01-27,,ELEC,Public,95921,,,E,The Avenue,888-998-2546,2020-01-27T09:08:07Z,,GPS,35.816201,-78.611464,Raleigh,,,NC,2601 Nobelwood Circle,27604,US,['J1772'],,,1.0,Blink Network,http://www.blinkcharging.com/,,Level 2: $0.49 per kWh,,"{'station': ['255297'], 'posts': ['23773']}",
private,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,,2020-01-27,,ELEC,Private,96219,,,E,Ansley at Robert Lakes,888-998-2546,2020-01-27T09:08:07Z,,GPS,35.477773,-82.570366,Arden,"For residents only.
",,NC,100 Roberts Lake Circle,28704,US,['J1772'],,,2.0,Blink Network,http://www.blinkcharging.com/,,Level 2: $0.49 per kWh,,"{'station': ['208786'], 'posts': ['23252', '31734']}",
public,24 hours daily,,,2020-01-27,,ELEC,Public,96720,,,E,REVUP1,888-758-4389,2020-01-27T10:14:46Z,,GPS,35.6303906,-79.7655489,Asheboro,"NC ZOO1; At North American Entrance in front of Education Building
NC ZOO2; At North American Entrance in front of Education Building
SOLAR POINT 2; NC Zoo near Solar Pointe",,NC,Zoo Pkwy,27205,US,['J1772'],,,6.0,ChargePoint Network,http://www.chargepoint.com/,,Free,,"{'posts': ['1:384461', '1:418891', '1:418961'], 'ports': ['1', '2']}",
public,24 hours daily,,,2020-01-27,,ELEC,Public,96725,,,E,REVUP1,888-758-4389,2020-01-27T10:14:46Z,,GPS,35.6272276,-79.7666882,Asheboro,SOLAR POINT 1; @North Carolina Zoo near Solar Pointe,,NC,4401 Zoo Parkway,27205,US,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,Free,,"{'posts': ['1:384441'], 'ports': ['1', '2']}",
public,24 hours daily,,,2020-01-27,,ELEC,Public,96754,,,E,"BISCOE, TOWN",888-758-4389,2020-01-27T10:14:46Z,,GPS,35.3565517,-79.7857255,Biscoe,BISCOE PARK; Located in Biscoe Park next to basketball court. ,,NC,221 Mill St Deaton and Monroe Recreation Park,27209,US,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,Free,,"{'posts': ['1:422871'], 'ports': ['1', '2']}",
private,,,,2019-11-08,,ELEC,Private,96925,2018-04-01,P,E,PowerSecure,919-556-3056,2020-01-21T18:34:38Z,OFFICE_BLDG,GPS,35.921114,-78.841953,Durham,,,NC,4068 Stirrup Creek Dr,27703,US,['J1772'],,,2.0,Non-Networked,,,,,,
public,24 hours daily,,,2020-01-27,,ELEC,Public,96976,,,E,BSMG,888-758-4389,2020-01-27T10:14:46Z,,GPS,35.9933291,-78.9056251,Durham,ATC EVSE GW; -,,NC,324 Blackwell St,27701,US,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,"Pricing is based on length of time. $1 per hour for the first 4 hours, and $3.5 per additional hour",,"{'posts': ['1:546991'], 'ports': ['1', '2']}",
public,24 hours daily,,,2020-01-27,,ELEC,Public,98566,,,E,WHOLE FOODS MKT,888-758-4389,2020-01-27T10:14:46Z,,200-9,35.22045,-80.845844,Charlotte,"CHARLOTTE STA 1; Station is located on the ground level of the Whole Foods parking deck near the main entrance. 
CHARLOTTE STA 2; Station is located on the ground level of the Whole Foods parking deck by the main entrance. ",,NC,400 E Stonewall St,28202,US,['J1772'],,,4.0,ChargePoint Network,http://www.chargepoint.com/,,Free,,"{'posts': ['1:512881', '1:513381'], 'ports': ['1', '2']}",
public,24 hours daily,,,2020-01-27,,ELEC,Public,98568,,,E,BEMC,888-758-4389,2020-01-27T10:14:46Z,,GPS,33.9741584,-78.3866062,Shallotte,SHALLOTTE; Located in Mulberry Park,,NC,299-355 Mulberry St,28470,US,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,$7.5 per session,,"{'posts': ['1:452221'], 'ports': ['1', '2']}",
private,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,,2020-01-27,,ELEC,Private,98608,,,E,Asheville Exchange Apartments,888-998-2546,2020-01-27T09:08:07Z,,GPS,35.52998,-82.60982,Asheville,,,NC,105 Exchange Circle,28806,US,['J1772'],,,1.0,Blink Network,http://www.blinkcharging.com/,,Level 2: $0.49 per kWh,,"{'station': ['383653'], 'posts': ['51705']}",
private,Fleet use only,,,2020-01-13,,ELEC,Private,98678,2018-04-01,FG,E,Social Security Administration,,2020-01-21T18:34:38Z,FED_GOV,GPS,35.877576,-78.88564,Research Triangle Park,,,NC,1 Innovation Dr,27709,US,['J1772'],,,2.0,Non-Networked,,,,,,"{'id': 24, 'code': 'SSA', 'name': 'Social Security Administration'}"
public,24 hours daily,,,2020-01-27,,ELEC,Public,98779,,,E,DUKE ENERGY,888-758-4389,2020-01-27T10:14:46Z,,GPS,35.3256253,-81.0000801,Mount Holly,MT HOLLY; Duke Energy Employees Only,,NC,1900 North Main Street,28120,US,['J1772'],,,1.0,ChargePoint Network,http://www.chargepoint.com/,,Free,,"{'posts': ['1:516951'], 'ports': ['1']}",
public,24 hours daily,,,2020-01-27,,ELEC,Public,98828,,,E,MUNICIPAL COMPL,888-758-4389,2020-01-27T10:14:46Z,,GPS,34.6893315,-77.1225793,Swansboro,SWANSBORO; Town Hall Parking Lot,,NC,512-520 E Sabiston Dr Town Hall,28584,US,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,Free,,"{'posts': ['1:222576'], 'ports': ['1', '2']}",
private,24 hours daily,,,2020-01-27,,ELEC,Private,98895,,,E,Greenlots - DCsArdenNC,855-900-7584,2020-01-27T10:59:15Z,,GPS,35.4661613,-82.5166982,Arden,,,NC,221 Heywood Road arden,28704,US,['CHADEMO'],1.0,,,Greenlots,http://greenlots.com/,,DC Fast: Free,,"{'posts': ['DCsArdenNC'], 'ports': ['33']}",
public,24 hours daily,,,2020-01-27,,ELEC,Public,99018,,,E,Greenlots - 63032,855-900-7584,2020-01-27T10:59:15Z,,GPS,35.3168144226074,-81.176872253418,Dallas,,,NC,210 N. Holland St.,28034,US,"['CHADEMO', 'J1772COMBO']",2.0,,,Greenlots,http://greenlots.com/,,"DC Fast: $12.00 per hour, minimum payment of $1.00, maximum payment of $40.00",,"{'posts': ['63032'], 'ports': ['800', '801']}",
public,24 hours daily,,,2020-01-27,,ELEC,Public,99084,,,E,Greenlots - 12202,855-900-7584,2020-01-27T10:59:15Z,,GPS,35.5144500732422,-83.3065872192383,"Cherokee,",,,NC,1194 Newfound Gap Rd,28719,US,['J1772'],,,1.0,Greenlots,http://greenlots.com/,,"Level 2: $1.75 per hour, maximum payment of $30.00",,"{'posts': ['12202'], 'ports': ['988']}",
